campaign_id,seed,episode,source_agent,flood_rounds,first_full_agreement_round,directed_return_transmissions,all_agents_received,all_agents_equal,observed_return
TRAJ-MICRO-V1,12031,1,0,2,2,8,1,1,0.7938154029054822
TRAJ-MICRO-V1,12031,2,0,2,2,8,1,1,0.7984630206612232
TRAJ-MICRO-V1,12031,3,0,2,2,8,1,1,0.8327624997352803
TRAJ-MICRO-V1,12031,4,0,2,2,8,1,1,0.824898113836201
TRAJ-MICRO-V1,12031,5,0,2,2,8,1,1,0.8533270666383225
TRAJ-MICRO-V1,12031,6,0,2,2,8,1,1,0.8231551082049421
TRAJ-MICRO-V1,12031,7,0,2,2,8,1,1,0.8073443365581656
TRAJ-MICRO-V1,12031,8,0,2,2,8,1,1,0.8289507921206544
TRAJ-MICRO-V1,12031,9,0,2,2,8,1,1,0.8694690780506635
TRAJ-MICRO-V1,12031,10,0,2,2,8,1,1,0.8336556792360245
TRAJ-MICRO-V1,12031,11,0,2,2,8,1,1,0.8137297492005842
TRAJ-MICRO-V1,12031,12,0,2,2,8,1,1,0.83657057352427
TRAJ-MICRO-V1,12031,13,0,2,2,8,1,1,0.7253761681978765
TRAJ-MICRO-V1,12031,14,0,2,2,8,1,1,0.8007958315289107
TRAJ-MICRO-V1,12031,15,0,2,2,8,1,1,0.8290050687228941
TRAJ-MICRO-V1,12031,16,0,2,2,8,1,1,0.7763872854953109
TRAJ-MICRO-V1,12031,17,0,2,2,8,1,1,0.8249251018248516
TRAJ-MICRO-V1,12031,18,0,2,2,8,1,1,0.7852524228561918
TRAJ-MICRO-V1,12031,19,0,2,2,8,1,1,0.8343288386638786
TRAJ-MICRO-V1,12031,20,0,2,2,8,1,1,0.8254053453022384
TRAJ-MICRO-V1,12031,21,0,2,2,8,1,1,0.8122826387947663
TRAJ-MICRO-V1,12031,22,0,2,2,8,1,1,0.7970311359892782
TRAJ-MICRO-V1,12031,23,0,2,2,8,1,1,0.8264379947565504
TRAJ-MICRO-V1,12031,24,0,2,2,8,1,1,0.7910257875762039
TRAJ-MICRO-V1,12031,25,0,2,2,8,1,1,0.7856234004511627
TRAJ-MICRO-V1,12031,26,0,2,2,8,1,1,0.8118087131322985
TRAJ-MICRO-V1,12031,27,0,2,2,8,1,1,0.7209352068976194
TRAJ-MICRO-V1,12031,28,0,2,2,8,1,1,0.7771778209312304
TRAJ-MICRO-V1,12031,29,0,2,2,8,1,1,0.8383733679941712
