campaign_id,seed,episodes,cumulative_true_value,cumulative_optimum_value,cumulative_value_retention,final_universal_certificate_utilization,final_raw_certificate_utilization,parameter_confidence_covered,edge_confidence_covered,certificate_covered,return_nonnegative,max_parameter_confidence_ratio,max_edge_confidence_ratio,max_trajectory_fluctuation_utilization,max_trajectory_deviation_utilization,max_phase_fluctuation_tube_utilization,max_phase_deviation_tube_utilization,max_tracking_tube_utilization,max_reset_utilization,max_actuator_utilization,max_validity_utilization,zero_scale_counterfactual_difference_fraction,minimum_return,maximum_return
TRAJ-MICRO-V1,12031,240,199.52843938615928,203.43696271754607,0.9807875457872746,0.5875801648687661,0.5876350963119551,1,1,1,1,0.617022922075394,0.609176296488316,0.7030430451933198,0.7030430451933198,1.0000000000000004,1.0000000000000004,0.9730372946297503,0.8869472065586669,0.9267021853616668,0.9009604579905095,0.527027027027027,0.7209352068976194,0.9187017001680235
TRAJ-MICRO-V1,12037,240,199.2965274591607,203.43696271754607,0.9796475763151558,0.5928305752198756,0.5928855066630647,1,1,1,1,0.617022922075394,0.609176296488316,0.5806740743740607,0.5806740743740607,1.0000000000000004,1.0000000000000004,0.9730372946297503,0.8869472065586669,0.9267021853616668,0.9009604579905095,0.536036036036036,0.7442436702107256,0.8929551419766846
TRAJ-MICRO-V1,12041,240,199.51957603443532,203.43696271754607,0.980743977737469,0.5824609354765289,0.582533316707394,1,1,1,1,0.617022922075394,0.609176296488316,0.6075581877926103,0.6075581877926103,1.0000000000000004,1.0000000000000004,0.9730372946297503,0.8869472065586669,0.9267021853616668,0.9009604579905095,0.545045045045045,0.7240494707157895,0.9319870239769219
TRAJ-MICRO-V1,12043,240,199.59650622627933,203.43696271754607,0.9811221302168237,0.5836894962587873,0.5837618774896526,1,1,1,1,0.617022922075394,0.609176296488316,0.5861528730382333,0.5861528730382333,1.0000000000000004,1.0000000000000004,0.9730372946297503,0.8869472065586669,0.9267021853616668,0.9009604579905095,0.527027027027027,0.7247942761053511,0.9012626425300398
TRAJ-MICRO-V1,12049,240,199.3521967804274,203.43696271754607,0.9799212203989203,0.5896008981807891,0.5896595130185167,1,1,1,1,0.617022922075394,0.609176296488316,0.6799081449804851,0.6799081449804851,1.0000000000000004,1.0000000000000004,0.9730372946297503,0.8869472065586669,0.9267021853616668,0.9009604579905095,0.509009009009009,0.7098733867870844,0.9257081184902297
TRAJ-MICRO-V1,12071,240,199.53159636061378,203.43696271754607,0.980803063982259,0.5856767924722902,0.5857491737031554,1,1,1,1,0.617022922075394,0.609176296488316,0.6287932957931027,0.6287932957931027,1.0000000000000004,1.0000000000000004,0.9730372946297503,0.8869472065586669,0.9267021853616668,0.9009604579905095,0.5585585585585585,0.7173231027004351,0.9135053771686047
TRAJ-MICRO-V1,12073,240,199.56162620929916,203.43696271754607,0.9809506765315433,0.5853025172824206,0.5853574487256097,1,1,1,1,0.617022922075394,0.609176296488316,0.6851213278101257,0.6851213278101257,1.0000000000000004,1.0000000000000004,0.9730372946297503,0.8869472065586669,0.9267021853616668,0.9009604579905095,0.5,0.7441760156858586,0.9135832859051204
TRAJ-MICRO-V1,12097,240,199.43655559823563,203.43696271754607,0.980335888494046,0.5849986358506369,0.5850600522421749,1,1,1,1,0.617022922075394,0.609176296488316,0.5825758669001875,0.5825758669001875,1.0000000000000004,1.0000000000000004,0.9730372946297503,0.8869472065586669,0.9267021853616668,0.9009604579905095,0.5180180180180181,0.7295919309129884,0.9170634825691969
TRAJ-MICRO-V1,12101,240,199.3888138089696,203.43696271754607,0.9801012124124318,0.5860720333307122,0.5861306481684398,1,1,1,1,0.617022922075394,0.609176296488316,0.7491920263531275,0.7491920263531275,1.0000000000000004,1.0000000000000004,0.9730372946297503,0.8869472065586669,0.9267021853616668,0.9009604579905095,0.5135135135135135,0.7258615676435418,0.9068916900584814
TRAJ-MICRO-V1,12107,240,199.57872066418008,203.43696271754607,0.9810347047958891,0.5842858508491522,0.5843407822923413,1,1,1,1,0.617022922075394,0.609176296488316,0.5567085495344528,0.5567085495344528,1.0000000000000004,1.0000000000000004,0.9730372946297503,0.8869472065586669,0.9267021853616668,0.9009604579905095,0.536036036036036,0.7388564639711929,0.9134899377985783
TRAJ-MICRO-V1,12109,240,199.433542653459,203.43696271754607,0.9803210782809146,0.5886371746223983,0.5886921060655874,1,1,1,1,0.617022922075394,0.609176296488316,0.8069459408025527,0.8069459408025527,1.0000000000000004,1.0000000000000004,0.9730372946297503,0.8869472065586669,0.9267021853616668,0.9009604579905095,0.5135135135135135,0.7409000490044584,0.9004279591010703
TRAJ-MICRO-V1,12113,240,199.31824087423752,203.43696271754607,0.9797543092057119,0.5893695912390796,0.5894282060768072,1,1,1,1,0.617022922075394,0.609176296488316,0.7125369820037205,0.7125369820037205,1.0000000000000004,1.0000000000000004,0.9730372946297503,0.8869472065586669,0.9267021853616668,0.9009604579905095,0.545045045045045,0.7418133638632244,0.9039035469817116
