candidate,edge_zero_based,edge_one_based,posterior_mean,metric_width,zero_scale_intercept,physical_scale_slope,score_at_zero_scale,score_at_crossing,score_at_configured_scale,crossing_scale,configured_scale,selected_at_zero_scale,selected_at_configured_scale
A,2-0,"(3,1)",0.24443389102692178,0.22100626010580277,0.30521061255601756,0.82371795414925175,0.30521061255601756,0.3443579489487279,0.35037272223133753,0.047525170715918545,0.0548271522404341,0,1
B,0-2,"(1,3)",0.29383294017490957,0.11174829628769176,0.32456372165402481,0.41649986726029864,0.32456372165402481,0.3443579489487279,0.3473992232844258,0.047525170715918545,0.0548271522404341,1,0
