campaign_id,dimension_d,measured_identifiable_rank_rU,catalogue_states,catalogue_minimum_rank,catalogue_full_rank_rows,catalogue_full_rank_fraction,catalogue_minimum_empirical_restricted_eigenvalue,catalogue_p01_empirical_restricted_eigenvalue,catalogue_p05_empirical_restricted_eigenvalue,catalogue_median_empirical_restricted_eigenvalue,catalogue_maximum_empirical_restricted_eigenvalue,catalogue_distributed_mismatches,catalogue_feasibility_failures,residual_audit_rows,residual_full_rank_rows,residual_full_rank_fraction,residual_minimum_rank,residual_minimum_eigenvalue_raw,residual_distributed_mismatches,residual_feasibility_failures
SAT-COV-V1,6,6,1600,6,1600,1.0,9.883996851040383e-07,1.5740706403590891e-06,4.6512566343528365e-06,3.0774983675379975e-05,0.00027321707961619186,0,0,720,237,0.32916666666666666,0,-2.6374380235845097e-16,0,0
UAV-AG-V1,8,8,1600,8,1600,1.0,9.11160094550432e-06,1.3588484444476475e-05,2.0123162823966167e-05,4.306489874682393e-05,9.9440463717959e-05,0,0,720,312,0.43333333333333335,0,-2.8897500070345086e-16,0,0
