campaign_id,method,c_exp,exploration_percent_mean,exploration_percent_se,cumulative_exact_greedy_ratio_mean,cumulative_exact_greedy_ratio_se,posthoc_exact_greedy_gap_mean,posthoc_exact_greedy_gap_se,validation_failed_trials,trials
SAT-COV-V1,Instantaneous myopic,,0.0,0.0,0.9755230350562858,0.0004581935673995208,9.73108321543671,0.18134220889086963,0,32
SAT-COV-V1,Exploitation-only UCB,0.0,0.0,0.0,0.9927369025283828,0.000249343464583058,2.911461077449726,0.09976120381581768,0,32
SAT-COV-V1,Exploration UCB,0.25,4.830729166666667,0.2026780951860787,0.9914662117373716,0.00027105979952225296,3.4209662110637975,0.11089002856099806,0,32
UAV-AG-V1,Instantaneous myopic,,0.0,0.0,0.9696739723756758,0.00047393751308887495,18.512448501860035,0.2965215606360165,0,32
UAV-AG-V1,Exploitation-only UCB,0.0,0.0,0.0,0.9920170086823743,0.0002579132937717461,4.849916334819383,0.1617129718507762,0,32
UAV-AG-V1,Exploration UCB,0.25,4.76875,0.15557110577357514,0.9890654417918827,0.00041267721736955207,6.6357463337648745,0.25569523968938906,0,32
