campaign_id,epochs,max_full_l1_violation,max_full_l2_violation,max_full_vs_nonnegative_abs_difference,max_nonnegative_l1,max_nonnegative_l2,methods,min_nonnegative_l1_slack,min_nonnegative_l2_slack,nonnegative_any_activations,nonnegative_l1_activations,nonnegative_l2_activations,trial_index,trial_seed,updates
SAT-COV-V1,480,0.0,0.0,0.0,3.989264816739565,1.6434289768375383,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.030735183260434784,0.13395772841261633,0,0,0,21,2334240942,1440
SAT-COV-V1,480,0.0,0.0,0.0,3.9942166451271497,1.6449517170798853,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.025783354872849884,0.13243498817026933,0,0,0,22,1016866258,1440
SAT-COV-V1,480,0.0,0.0,0.0,4.00319832787123,1.6554623129676285,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.016801672128769596,0.12192439228252616,0,0,0,23,3318762893,1440
SAT-COV-V1,480,0.0,0.0,0.0,4.001892468429465,1.6492809815648368,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.018107531570534796,0.1281057236853178,0,0,0,24,2893925681,1440
SAT-COV-V1,480,0.0,0.0,0.0,4.001083767083336,1.6498354604837286,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.018916232916663667,0.127551244766426,0,0,0,25,3387925955,1440
SAT-COV-V1,480,0.0,0.0,0.0,3.990697798362742,1.6440790971462944,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.029302201637257497,0.13330760810386022,0,0,0,26,2757099047,1440
SAT-COV-V1,480,0.0,0.0,0.0,3.9860249236068253,1.6424753699879653,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.03397507639317432,0.13491133526218935,0,0,0,27,2983764640,1440
SAT-COV-V1,480,0.0,0.0,0.0,3.980502275481978,1.6405349922450572,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.03949772451802147,0.13685171300509746,0,0,0,28,3576438341,1440
SAT-COV-V1,480,0.0,0.0,0.0,3.966921427335838,1.6345762110082358,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.053078572664161605,0.14281049424191883,0,0,0,29,3544950946,1440
SAT-COV-V1,480,0.0,0.0,0.0,3.9957403187015057,1.6446070065509204,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.024259681298493874,0.13277969869923423,0,0,0,30,3460135484,1440
SAT-COV-V1,480,0.0,0.0,0.0,3.993893543952077,1.649352973312372,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.0261064560479225,0.12803373193778267,0,0,0,31,399101688,1440
SAT-COV-V1,480,0.0,0.0,0.0,3.9714726845807493,1.639818111776665,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.04852731541925026,0.1375685934734896,0,0,0,32,2362500358,1440
UAV-AG-V1,500,0.0,0.0,0.0,4.852243919977191,1.748541903568577,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.057756080022809186,0.14201218187833242,0,0,0,1,1454570649,1500
UAV-AG-V1,500,0.0,0.0,0.0,4.847940397098975,1.747415894851904,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.062059602901024746,0.14313819059500532,0,0,0,2,1395486123,1500
UAV-AG-V1,500,0.0,0.0,0.0,4.865951830011165,1.753039144734648,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.04404816998883554,0.13751494071226134,0,0,0,3,284347057,1500
UAV-AG-V1,500,0.0,0.0,0.0,4.866193473229377,1.7523439103637626,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.04380652677062358,0.1382101750831468,0,0,0,4,402731510,1500
UAV-AG-V1,500,0.0,0.0,0.0,4.861465602465643,1.759718235018529,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.04853439753435751,0.13083585042838042,0,0,0,5,3235176392,1500
UAV-AG-V1,500,0.0,0.0,0.0,4.869451310329244,1.7556711477741245,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.04054868967075631,0.13488293767278492,0,0,0,6,1046969258,1500
UAV-AG-V1,500,0.0,0.0,0.0,4.855623179503867,1.7539430232538011,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.054376820496132794,0.13661106219310826,0,0,0,7,752019423,1500
UAV-AG-V1,500,0.0,0.0,0.0,4.851996272264244,1.7487734854004082,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.05800372773575635,0.14178060004650117,0,0,0,8,1864942186,1500
UAV-AG-V1,500,0.0,0.0,0.0,4.848139121091037,1.752182735625178,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.061860878908962746,0.13837134982173138,0,0,0,9,1366032127,1500
UAV-AG-V1,500,0.0,0.0,0.0,4.879883929171763,1.76178591651847,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.030116070828237085,0.12876816892843945,0,0,0,10,2820160598,1500
UAV-AG-V1,500,0.0,0.0,0.0,4.8410608642218325,1.7476664209927022,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.06893913577816768,0.1428876644542072,0,0,0,11,1635921320,1500
UAV-AG-V1,500,0.0,0.0,0.0,4.860111206205512,1.7509882637050054,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.04988879379448807,0.13956582174190402,0,0,0,12,3724624006,1500
UAV-AG-V1,500,0.0,0.0,0.0,4.870595064256435,1.7554160174042241,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.03940493574356552,0.13513806804268524,0,0,0,13,843794362,1500
UAV-AG-V1,500,0.0,0.0,0.0,4.854127154041576,1.7527230699472078,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.05587284595842412,0.13783101549970156,0,0,0,14,675476565,1500
UAV-AG-V1,500,0.0,0.0,0.0,4.833567776445975,1.747448996686083,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.07643222355402557,0.1431050887608265,0,0,0,15,2838087092,1500
UAV-AG-V1,500,0.0,0.0,0.0,4.859130018175533,1.75010505877728,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.05086998182446756,0.14044902666962944,0,0,0,16,1644467141,1500
UAV-AG-V1,500,0.0,0.0,0.0,4.875611926090962,1.7529125070290006,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.034388073909037864,0.1376415784179088,0,0,0,17,3130639502,1500
UAV-AG-V1,500,0.0,0.0,0.0,4.8750162937918375,1.7577828278713803,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.0349837062081626,0.1327712575755291,0,0,0,18,3428279378,1500
UAV-AG-V1,500,0.0,0.0,0.0,4.839586201690258,1.7497148726366805,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.07041379830974215,0.14083921281022893,0,0,0,19,3363248076,1500
UAV-AG-V1,500,0.0,0.0,0.0,4.863794789332074,1.7595818469820257,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.046205210667926266,0.1309722384648837,0,0,0,20,3040224932,1500
UAV-AG-V1,500,0.0,0.0,0.0,4.863692974488902,1.7540110092001484,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.04630702551109778,0.13654307624676099,0,0,0,21,678979011,1500
UAV-AG-V1,500,0.0,0.0,0.0,4.844540710301054,1.749825254943737,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.06545928969894632,0.14072883050317242,0,0,0,22,1293994531,1500
UAV-AG-V1,500,0.0,0.0,0.0,4.86065385656452,1.7548974181152122,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.04934614343548027,0.13565666733169723,0,0,0,23,251126314,1500
UAV-AG-V1,500,0.0,0.0,0.0,4.833599323636408,1.7455276076370023,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.07640067636359227,0.14502647780990707,0,0,0,24,787334529,1500
UAV-AG-V1,500,0.0,0.0,0.0,4.8678582353588675,1.7520079520540324,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.04214176464113262,0.13854613339287702,0,0,0,25,2015816355,1500
UAV-AG-V1,500,0.0,0.0,0.0,4.871029518168429,1.7590752202535673,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.038970481831571036,0.13147886519334206,0,0,0,26,3467865324,1500
UAV-AG-V1,500,0.0,0.0,0.0,4.856603279388395,1.7483174151747372,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.053396720611605275,0.14223667027217224,0,0,0,27,3732841527,1500
UAV-AG-V1,500,0.0,0.0,0.0,4.853399437054589,1.750712668751855,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.056600562945410715,0.13984141669505434,0,0,0,28,553048583,1500
UAV-AG-V1,500,0.0,0.0,0.0,4.862562701735973,1.7540906294716452,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.047437298264027206,0.13646345597526421,0,0,0,29,1192811288,1500
UAV-AG-V1,500,0.0,0.0,0.0,4.874841176642648,1.7530613175774141,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.0351588233573521,0.13749276786949527,0,0,0,30,1987356757,1500
UAV-AG-V1,500,0.0,0.0,0.0,4.837557481593255,1.7474879291217147,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.07244251840674476,0.1430661563251947,0,0,0,31,3904294254,1500
UAV-AG-V1,500,0.0,0.0,0.0,4.838436988566691,1.7499054169742547,"['DISTRIBUTED_UCB', 'PROJECTED_MEAN', 'UCB_WITHOUT_RESOURCE_FILTER']",0.07156301143330879,0.14064866847265467,0,0,0,32,1439387297,1500
