campaign_id,mode,offset,offset_norm
SAT-COV-V1,idle_hold,0|0|-0|0|0|0,0
SAT-COV-V1,survey,0.0076822127959737573|0|-0.0051214751973158385|0|0.0038411063979868786|0,0.0099999999999999985
SAT-COV-V1,responsive,0.015364425591947515|0|-0.010242950394631677|0|0.0076822127959737573|0,0.019999999999999997
SAT-COV-V1,agile,0.023046638387921276|0|-0.015364425591947516|0|0.011523319193960638|0,0.029999999999999999
UAV-AG-V1,loiter,0|0|-0|0,0
UAV-AG-V1,mapping,0.010004084133313017|0|-0.0060024504799878102|0,0.011666666666666669
UAV-AG-V1,scouting,0.020008168266626034|0|-0.01200490095997562|0,0.023333333333333338
UAV-AG-V1,urgent_inspection,0.030012252399939054|0|-0.018007351439963432|0,0.03500000000000001
