campaign_id,application,mode,state_dimension,input_dimension,spectral_radius,contraction_floor,lambda_c,c_w_mode,within_mode_block_min_eigenvalue,p_min_eigenvalue,p_max_eigenvalue,feedback_spectral_norm,fallback_policy
SAT-COV-V1,micro_satellite_attitude_tracking,idle_hold,6,3,0.7917781901602392,0.84374533422962972,0.88280900067222223,1.120405323156362,1.2654131275203345e-07,0.69585340051289468,5.0631509287841858,2.4164777320136657,"Abort the observation product, hold the current command attitude, and retain the same stabilizing feedback template. Mission benefit is zero after intervention; the tracking matrix and Lyapunov function do not switch within the episode."
SAT-COV-V1,micro_satellite_attitude_tracking,survey,6,3,0.73736930525824218,0.7962847500034842,0.88280900067222223,0.26376688126729786,5.2670165687599094e-07,0.54874628868241293,4.2925108876549993,3.2179171699232336,"Abort the observation product, hold the current command attitude, and retain the same stabilizing feedback template. Mission benefit is zero after intervention; the tracking matrix and Lyapunov function do not switch within the episode."
SAT-COV-V1,micro_satellite_attitude_tracking,responsive,6,3,0.67379987985981937,0.75857513850683944,0.88280900067222223,0.10956294260648386,8.5896196899692967e-07,0.46056698940478846,3.8432866885057777,4.2141812048787886,"Abort the observation product, hold the current command attitude, and retain the same stabilizing feedback template. Mission benefit is zero after intervention; the tracking matrix and Lyapunov function do not switch within the episode."
SAT-COV-V1,micro_satellite_attitude_tracking,agile,6,3,0.61446846051566306,0.73720864308221556,0.88280900067222223,0.069365808866901552,9.4336099097473702e-07,0.41589999703397507,3.6276574407769075,5.173402787108996,"Abort the observation product, hold the current command attitude, and retain the same stabilizing feedback template. Mission benefit is zero after intervention; the tracking matrix and Lyapunov function do not switch within the episode."
UAV-AG-V1,precision_agriculture_uav_tracking,loiter,4,2,0.82824157056073089,0.87559360961671917,0.90669520721253938,1.4883438827037188,1.1133938506197374e-07,0.86488287335829794,6.0276496073038857,2.1467379214755593,"Abort sensing or treatment, hold the current waypoint, and retain the same stabilizing feedback template. Mission benefit is zero after intervention; the tracking matrix and Lyapunov function do not switch within the episode."
UAV-AG-V1,precision_agriculture_uav_tracking,mapping,4,2,0.78910696798226221,0.83659383312894042,0.90669520721253938,0.36758612986462164,3.9182512237188015e-07,0.66878772453987734,5.1165444456713907,2.8043919990167931,"Abort sensing or treatment, hold the current waypoint, and retain the same stabilizing feedback template. Mission benefit is zero after intervention; the tracking matrix and Lyapunov function do not switch within the episode."
UAV-AG-V1,precision_agriculture_uav_tracking,scouting,4,2,0.74509997267696249,0.80405604530757513,0.90669520721253938,0.14791140871685896,6.9734399490289922e-07,0.54270448414504824,4.5748048161078012,3.581006117516004,"Abort sensing or treatment, hold the current waypoint, and retain the same stabilizing feedback template. Mission benefit is zero after intervention; the tracking matrix and Lyapunov function do not switch within the episode."
UAV-AG-V1,precision_agriculture_uav_tracking,urgent_inspection,4,2,0.69764414104555517,0.77909540368846586,0.90669520721253938,0.074008206183279746,8.6214614921677202e-07,0.46111703769651974,4.2318217073142232,4.487629979886643,"Abort sensing or treatment, hold the current waypoint, and retain the same stabilizing feedback template. Mission benefit is zero after intervention; the tracking matrix and Lyapunov function do not switch within the episode."
