campaign_id,application,source_mode,target_mode,comparison_floor,mu,c_jump_pair,jump_block_min_eigenvalue
SAT-COV-V1,micro_satellite_attitude_tracking,idle_hold,idle_hold,1.0000000000000004,2.9918020749068091,7.6051535406483843,6.0740954453813244e-06
SAT-COV-V1,micro_satellite_attitude_tracking,idle_hold,survey,0.99217445099342072,2.9918020749068091,6.1294328638812736,4.8917936974699743e-06
SAT-COV-V1,micro_satellite_attitude_tracking,idle_hold,responsive,0.99020751973511278,2.9918020749068091,5.4341403501004182,4.1684951517189267e-06
SAT-COV-V1,micro_satellite_attitude_tracking,idle_hold,agile,0.99232343794685618,2.9918020749068091,5.1319621275146714,3.8462912028261781e-06
SAT-COV-V1,micro_satellite_attitude_tracking,survey,idle_hold,1.5164388449164772,2.9918020749068091,8.8545501426279891,4.3524889361698334e-06
SAT-COV-V1,micro_satellite_attitude_tracking,survey,survey,1.0000000000000002,2.9918020749068091,6.4476064084781788,5.1495839698120424e-06
SAT-COV-V1,micro_satellite_attitude_tracking,survey,responsive,0.99853062728351494,2.9918020749068091,5.5609512692112792,4.4451384450945751e-06
SAT-COV-V1,micro_satellite_attitude_tracking,survey,agile,1.000914724561063,2.9918020749068091,5.2082477733235928,4.045915211885461e-06
SAT-COV-V1,micro_satellite_attitude_tracking,responsive,idle_hold,2.0697069002971187,2.9918020749068091,12.177173995779809,1.4456925920973743e-06
SAT-COV-V1,micro_satellite_attitude_tracking,responsive,survey,1.3663388473111187,2.9918020749068091,7.0382062149246671,4.3537610281618386e-06
SAT-COV-V1,micro_satellite_attitude_tracking,responsive,responsive,1.0000000000000002,2.9918020749068091,5.7728449690586698,4.6106644856740481e-06
SAT-COV-V1,micro_satellite_attitude_tracking,responsive,agile,1.0024058857061251,2.9918020749068091,5.3283170548855017,4.2817086605623372e-06
SAT-COV-V1,micro_satellite_attitude_tracking,agile,idle_hold,2.4931683957556743,2.9918020749068091,20.177010808584789,4.3670681922475807e-07
SAT-COV-V1,micro_satellite_attitude_tracking,agile,survey,1.6472817667491984,2.9918020749068091,7.7687855868772147,2.9374689112237537e-06
SAT-COV-V1,micro_satellite_attitude_tracking,agile,responsive,1.2058285345056017,2.9918020749068091,5.9983822098482023,4.3775580364802195e-06
SAT-COV-V1,micro_satellite_attitude_tracking,agile,agile,1.0000000000000002,2.9918020749068091,5.4489570265701879,4.3519811783658565e-06
UAV-AG-V1,precision_agriculture_uav_tracking,loiter,loiter,1.0000000000000002,3.1322427387902598,8.85456437535953,7.258120845922098e-06
UAV-AG-V1,precision_agriculture_uav_tracking,loiter,mapping,0.98765223584056538,3.1322427387902598,7.1618506599096925,5.8457857546180281e-06
UAV-AG-V1,precision_agriculture_uav_tracking,loiter,scouting,0.98020707969660537,3.1322427387902598,6.3354721939654999,4.9683980785929965e-06
UAV-AG-V1,precision_agriculture_uav_tracking,loiter,urgent_inspection,0.97702887853489861,3.1322427387902598,5.8551253360187658,4.4649594869705323e-06
UAV-AG-V1,precision_agriculture_uav_tracking,mapping,loiter,1.5046805344447787,3.1322427387902598,10.135884079957689,5.4581156902560719e-06
UAV-AG-V1,precision_agriculture_uav_tracking,mapping,mapping,1.0000000000000002,3.1322427387902598,7.516158888646812,6.1610246651697174e-06
UAV-AG-V1,precision_agriculture_uav_tracking,mapping,scouting,0.99325424218588521,3.1322427387902598,6.4823820437548845,5.3039194934400578e-06
UAV-AG-V1,precision_agriculture_uav_tracking,mapping,urgent_inspection,0.99120581056619206,3.1322427387902598,5.9333312506984033,4.6851685599349173e-06
UAV-AG-V1,precision_agriculture_uav_tracking,scouting,loiter,2.0581979956908598,3.1322427387902598,13.274153273948844,2.0100875614808417e-06
UAV-AG-V1,precision_agriculture_uav_tracking,scouting,mapping,1.3689560112225729,3.1322427387902598,8.1510892912834212,5.2970342883985825e-06
UAV-AG-V1,precision_agriculture_uav_tracking,scouting,scouting,1,3.1322427387902598,6.7203481270455221,5.5086954893824645e-06
UAV-AG-V1,precision_agriculture_uav_tracking,scouting,urgent_inspection,0.99840360091258651,3.1322427387902598,6.0512807453998017,4.960423711772484e-06
UAV-AG-V1,precision_agriculture_uav_tracking,urgent_inspection,loiter,2.6102022823252167,3.1322427387902598,23.802612466342868,4.6879346032180387e-07
UAV-AG-V1,precision_agriculture_uav_tracking,urgent_inspection,mapping,1.7381624051835802,3.1322427387902598,9.239153624987436,3.1665859314378057e-06
UAV-AG-V1,precision_agriculture_uav_tracking,urgent_inspection,scouting,1.2702920707736451,3.1322427387902598,7.0734851165902572,5.0730469323689175e-06
UAV-AG-V1,precision_agriculture_uav_tracking,urgent_inspection,urgent_inspection,1.0000000000000002,3.1322427387902598,6.2165089501972712,5.0956965575879547e-06
