campaign_id,application,paired_trials,paired_retention_definition,paired_retention_mean,paired_retention_standard_error,paired_retention_sample_standard_deviation,exploitation_only_value_to_policy_conditioned_greedy_mean,shielded_value_to_policy_conditioned_greedy_mean,ratio_of_table_means,paired_mean_minus_ratio_of_table_means,standard_error_definition,exact_score_greedy_denominator,table_ratio_recovers_paired_retention
SAT-COV-V1,Satellite coverage,32,rho_s=V_shielded_s/V_exploitation_only_s,0.9980609799238207,0.0012283095127795783,0.0069483678870590725,0.99273690252838276,0.99146621173737159,0.9987200125352701,-0.00065903261144939496,sample_sd({rho_s})/sqrt(32),recomputed under each policy's own residual-resource state,0
UAV-AG-V1,Aerial-vehicle allocation,32,rho_s=V_shielded_s/V_exploitation_only_s,0.9964346511072375,0.0014589930110019684,0.0082533108142661682,0.9920170086823743,0.98906544179188272,0.99702468116508214,-0.00059003005784463713,sample_sd({rho_s})/sqrt(32),recomputed under each policy's own residual-resource state,0
